时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
泓润恒业
2015-3-26,2.0,40.0,18.0,90.0,2,20.0,no_data_yet,no_data_yet,13.71,2362.94
2015-3-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,22.75,2340.18
2015-3-28,2.0,40.0,18.0,90.0,2,20.0,no_data_yet,no_data_yet,3.58,2345.56
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,21.81,2323.75
2015-3-30,1.0,20.0,18.0,90.0,1,20.0,no_data_yet,no_data_yet,6.38,2331.04
2015-3-31,1.0,20.0,18.0,90.0,1,20.0,no_data_yet,no_data_yet,2.87,2334.8
2015-4-1,3.0,99.3,18.0,90.0,3,33.1,no_data_yet,no_data_yet,89.55,2428.83
2015-4-2,1.0,10.0,18.0,90.0,1,10.0,no_data_yet,no_data_yet,2.07,2431.35
2015-4-3,1.0,10.0,18.0,90.0,1,10.0,no_data_yet,no_data_yet,0.58,2431.21
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,32.6,2398.61
2015-4-5,1.0,10.0,18.0,90.0,1,10.0,no_data_yet,no_data_yet,1.29,2397.77
2015-4-6,1.0,20.0,18.0,90.0,1,20.0,no_data_yet,no_data_yet,13.8,2412.48
2015-4-7,1.0,10.0,18.0,90.0,1,10.0,no_data_yet,no_data_yet,4.34,2408.59
2015-4-8,1.0,10.0,18.0,90.0,1,10.0,no_data_yet,no_data_yet,0.09,2409.12
2015-4-9,4.0,51.0,18.0,90.0,4,12.75,no_data_yet,no_data_yet,44.01,2367.41
2015-4-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,61.31,2306.1
2015-4-11,3.0,200.0,18.0,30.0,3,66.667,no_data_yet,no_data_yet,146.98,2456.08
2015-4-12,2.0,60.0,18.0,30.0,2,30.0,no_data_yet,no_data_yet,26.83,2483.8
2015-4-13,2.0,60.0,18.0,30.0,2,30.0,no_data_yet,no_data_yet,31.32,2516.02
2015-4-14,3.0,50.0,18.0,30.0,3,16.667,no_data_yet,no_data_yet,39.58,2556.35
2015-4-15,5.0,80.0,18.0,30.0,5,16.0,no_data_yet,no_data_yet,40.55,2598.11
2015-4-16,2.0,60.0,18.0,30.0,2,30.0,no_data_yet,no_data_yet,21.92,2620.93
2015-4-17,2.0,50.0,18.0,30.0,2,25.0,no_data_yet,no_data_yet,19.43,2641.11
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,32.24,2608.87
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,41.05,2567.82
2015-4-20,2.0,70.0,18.0,30.0,2,35.0,no_data_yet,no_data_yet,33.21,2602.07
2015-4-21,2.0,50.0,18.0,30.0,2,25.0,no_data_yet,no_data_yet,10.01,2612.83
2015-4-22,1.0,60.0,18.0,30.0,1,60.0,no_data_yet,no_data_yet,47.95,2661.68
2015-4-23,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,2.91,2665.34
2015-4-24,2.0,30.0,18.0,30.0,2,15.0,no_data_yet,no_data_yet,3.71,2662.08
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,21.94,2640.15
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,63.46,2576.69
2015-4-27,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,24.7,2602.14
2015-4-28,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,40.2,2643.09
2015-4-29,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,0.26,2643.59
2015-4-30,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,13.28,2657.61
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,25.51,2632.11
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,25.12,2606.99
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,9.85,2597.14
2015-5-4,1.0,80.0,18.0,30.0,1,80.0,no_data_yet,no_data_yet,65.39,2663.72
2015-5-5,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,24.65,2689.13
2015-5-6,2.0,50.0,18.0,30.0,2,25.0,no_data_yet,no_data_yet,47.58,2737.45
2015-5-7,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,16.57,2754.47
2015-5-8,1.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,9.94,2764.71
2015-5-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,12.53,2752.18
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,19.83,2732.35
2015-5-11,1.0,40.0,18.0,30.0,1,40.0,no_data_yet,no_data_yet,172.38,2560.58
2015-5-12,1.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,50.4,2510.48
2015-5-13,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,44.52,2466.41
2015-5-14,2.0,80.0,18.0,30.0,2,40.0,no_data_yet,no_data_yet,12.02,2479.62
2015-5-15,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,41.18,2439.2
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,77.19,2362.01
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,66.96,2295.05
2015-5-18,1.0,80.0,18.0,30.0,1,80.0,no_data_yet,no_data_yet,58.06,2354.31
2015-5-19,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,2.31,2357.07
2015-5-20,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,48.48,2309.03
2015-5-21,2.0,60.0,18.0,30.0,2,30.0,no_data_yet,no_data_yet,23.14,2286.79
2015-5-22,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,37.64,2249.6
2015-5-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,75.94,2173.66
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,59.86,2113.8
2015-5-25,1.0,80.0,18.0,30.0,1,80.0,no_data_yet,no_data_yet,64.26,2179.26
2015-5-26,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,6.02,2173.69
2015-5-27,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,16.4,2158.04
2015-5-28,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,28.95,2129.84
2015-5-29,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,17.04,2113.55
2015-5-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,86.29,2027.26
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.21,2022.05
2015-6-1,1.0,80.0,18.0,30.0,1,80.0,no_data_yet,no_data_yet,49.25,2072.5
2015-6-2,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,31.74,2105.0
2015-6-3,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,57.67,2048.08
2015-6-4,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,21.91,2026.62
2015-6-5,2.0,60.0,18.0,30.0,2,30.0,no_data_yet,no_data_yet,8.6,2036.12
2015-6-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,40.87,1995.25
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,25.76,1969.49
2015-6-8,1.0,80.0,18.0,30.0,1,80.0,no_data_yet,no_data_yet,74.55,2045.24
2015-6-9,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,18.85,2064.54
2015-6-10,1.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,25.02,2039.82
2015-6-11,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,8.99,2049.26
2015-6-12,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,2.33,2047.38
2015-6-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,82.26,1965.12
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,58.07,1907.05
2015-6-15,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,27.04,1934.85
2015-6-16,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,2.52,1932.78
2015-6-17,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,78.21,1855.02
2015-6-18,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,22.0,1833.47
2015-6-19,2.0,49.0,18.0,30.0,2,24.5,no_data_yet,no_data_yet,18.55,1852.75
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,99.04,1753.71
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,84.36,1669.36
2015-6-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,35.01,1634.34
2015-6-23,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,13.03,1648.12
2015-6-24,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,98.44,1550.13
2015-6-25,2.0,100.0,18.0,30.0,2,50.0,no_data_yet,no_data_yet,66.17,1617.79
2015-6-26,2.0,80.0,18.0,30.0,2,40.0,no_data_yet,no_data_yet,15.95,1603.04
2015-6-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,51.75,1551.29
2015-6-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,73.88,1477.41
2015-6-29,2.0,75.0,18.0,30.0,2,37.5,no_data_yet,no_data_yet,50.56,1529.09
2015-6-30,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,51.67,1478.17
