时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
渝都贷
2015-3-26,2.0,37.39,13.8,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,1.0,10.0,16.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,2.0,5.34,10.8,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,1.0,30.0,16.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,3.0,40.14,12.8,35.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,2.0,40.0,16.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,1.0,10.0,14.8,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,1.0,30.0,16.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,3.0,62.0,15.2,48.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,1.0,20.0,16.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,1.0,20.0,16.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,2.0,15.32,12.8,28.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,4.0,58.14,14.85,47.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,1.0,0.5,9.8,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
