时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
爱定投
2015-3-30,1.0,10.0,13.0,90.0,1,10.0,no_data_yet,no_data_yet,10.0,433.03
2015-3-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,433.03
2015-4-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,433.03
2015-4-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,433.03
2015-4-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,433.03
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,433.03
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.08,431.94
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.08,431.94
2015-4-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.08,430.86
2015-4-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.08,430.86
2015-4-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.08,430.86
2015-4-10,2.0,160.0,13.5,240.0,2,80.0,no_data_yet,no_data_yet,158.92,606.38
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,158.92,606.38
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,158.92,606.38
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,158.92,606.38
2015-4-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,158.92,606.38
2015-4-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,158.92,606.38
2015-4-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,158.92,606.38
2015-4-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,158.92,606.38
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.5,605.88
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.5,605.88
2015-4-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.65,605.23
2015-4-21,1.0,20.0,13.0,60.0,1,20.0,no_data_yet,no_data_yet,20.0,625.66
2015-4-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,20.0,625.66
