时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
票金所
2015-3-26,3.0,31.95,7.32,52.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,21.96,1602.3
2015-3-27,5.0,69.02,7.22,47.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,59.67,1662.45
2015-3-28,2.0,5.01,7.27,54.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.01,1667.51
2015-3-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.01,1667.51
2015-3-30,5.0,26.27,7.27,55.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,26.27,1694.04
2015-3-31,1.0,19.76,7.38,54.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,7.29,1701.54
2015-4-1,3.0,14.78,7.38,72.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,29.57,1672.18
2015-4-2,4.0,28.51,7.13,31.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,28.51,1700.89
2015-4-3,1.0,9.95,7.08,23.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.02,1700.91
2015-4-4,1.0,9.95,7.08,23.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.95,1710.9
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,14.99,1695.91
2015-4-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3.01,1692.91
2015-4-7,1.0,43.92,7.32,63.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,33.93,1727.39
2015-4-8,4.0,33.07,8.04,37.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,32.18,1695.44
2015-4-9,2.0,9.92,7.2,36.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.15,1695.66
2015-4-10,2.0,19.83,7.19,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.12,1710.93
2015-4-11,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,14.78,1696.15
2015-4-12,1.0,19.88,7.08,28.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,35.11,1661.15
2015-4-13,3.0,24.82,7.16,38.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3.83,1665.14
2015-4-14,2.0,24.82,7.2,44.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4.83,1670.14
2015-4-15,2.0,9.87,7.3,59.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,71.4,1598.86
2015-4-16,3.0,15.85,7.21,43.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,98.44,1500.56
2015-4-17,3.0,47.41,7.2,42.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,37.43,1538.3
2015-4-18,1.0,2.98,8.8,29.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,53.35,1484.97
2015-4-19,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,53.35,1484.97
2015-4-20,3.0,68.78,7.32,60.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,52.1,1538.17
2015-4-21,2.0,5.9,7.44,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.9,1544.17
2015-4-22,2.0,12.17,7.52,83.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,77.67,1466.71
2015-4-23,3.0,59.53,7.35,64.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,54.53,1521.66
2015-4-24,2.0,15.88,7.25,46.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.19,1522.96
2015-4-25,1.0,19.88,7.08,28.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,90.95,1432.12
2015-4-26,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,322.36,1109.76
2015-4-27,4.0,27.23,7.28,54.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3.25,1113.27
2015-4-28,5.0,62.86,7.69,65.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,62.86,1177.01
2015-4-29,3.0,9.92,7.46,85.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.92,1187.11
2015-4-30,1.0,11.84,7.0,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.85,1188.97
2015-5-1,3.0,140.61,7.28,39.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,140.61,1330.58
2015-5-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,140.61,1330.58
2015-5-3,2.0,9.91,7.36,41.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.08,1320.58
2015-5-4,3.0,19.79,7.22,41.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,19.79,1340.59
2015-5-5,3.0,7.81,7.08,25.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,7.74,1332.88
2015-5-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.6,1317.28
2015-5-7,4.0,42.51,7.12,24.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,38.06,1355.59
