时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
第四市场
2015-3-29,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,18.32,511.72
2015-3-30,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,18.32,511.72
2015-3-31,1.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,0.9,511.57
2015-4-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.9,511.57
2015-4-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.9,511.57
2015-4-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.15,501.42
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.15,501.42
2015-4-5,1.0,12.0,18.0,60.0,1,12.0,no_data_yet,no_data_yet,11.25,513.03
2015-4-6,3.0,24.0,18.0,50.0,2,12.0,no_data_yet,no_data_yet,1.64,515.24
2015-4-7,1.0,25.0,18.0,90.0,1,25.0,no_data_yet,no_data_yet,10.04,526.41
2015-4-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,25.38,501.03
2015-4-9,1.0,30.0,18.0,90.0,1,30.0,no_data_yet,no_data_yet,0.54,501.84
2015-4-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.54,501.84
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.54,501.84
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.54,501.84
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,16.56,485.29
2015-4-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.9,484.39
2015-4-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.45,483.94
2015-4-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.45,483.49
2015-4-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,15.24,468.25
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,15.24,468.25
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,15.24,468.25
2015-4-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,15.24,468.25
2015-4-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,15.24,468.25
2015-4-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,15.24,468.25
2015-4-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,15.24,468.25
2015-4-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,76.13,392.12
2015-4-25,1.0,6.0,18.0,90.0,1,6.0,no_data_yet,no_data_yet,6.0,398.39
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,6.0,398.39
2015-4-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,6.0,398.39
2015-4-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,6.0,398.39
2015-4-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,6.0,398.39
2015-4-30,1.0,53.0,14.4,30.0,1,53.0,no_data_yet,no_data_yet,2.25,401.28
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.25,401.28
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.25,401.28
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.25,401.28
2015-5-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.25,401.28
2015-5-5,1.0,15.0,14.4,90.0,1,15.0,no_data_yet,no_data_yet,14.07,415.89
2015-5-6,1.0,40.0,18.0,30.0,1,40.0,no_data_yet,no_data_yet,29.64,446.13
2015-5-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.13,445.0
2015-5-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.13,445.0
2015-5-9,1.0,25.0,18.0,120.0,1,25.0,no_data_yet,no_data_yet,24.55,471.05
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,24.55,471.05
2015-5-11,1.0,25.0,18.0,120.0,1,25.0,no_data_yet,no_data_yet,25.0,497.55
2015-5-12,1.0,19.0,18.0,90.0,1,19.0,no_data_yet,no_data_yet,19.0,517.41
2015-5-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,21.32,496.09
2015-5-14,1.0,25.0,18.0,90.0,1,25.0,no_data_yet,no_data_yet,0.9,496.32
2015-5-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.45,495.87
