时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
红顶财富
2015-6-6,2.0,18.8,10.3,18.5,1,18.8,no_data_yet,no_data_yet,18.8,18.88
2015-6-7,1.0,5.0,8.88,30.0,1,5.0,no_data_yet,no_data_yet,5.0,23.91
2015-6-8,1.0,5.0,8.88,30.0,1,5.0,no_data_yet,no_data_yet,5.0,28.95
2015-6-9,1.0,8.0,18.0,7.0,1,8.0,no_data_yet,no_data_yet,8.0,36.98
2015-6-10,1.0,6.0,18.0,7.0,1,6.0,no_data_yet,no_data_yet,6.0,43.0
2015-6-11,2.0,13.0,18.0,30.0,1,13.0,no_data_yet,no_data_yet,13.0,56.19
2015-6-12,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,3.0,59.24
2015-6-13,2.0,4.0,18.0,16.5,1,4.0,no_data_yet,no_data_yet,6.03,53.26
2015-6-14,2.0,4.0,18.0,16.5,1,4.0,no_data_yet,no_data_yet,4.0,57.3
2015-6-15,2.0,4.0,18.0,16.5,1,4.0,no_data_yet,no_data_yet,4.0,61.35
2015-6-16,2.0,8.0,13.44,30.0,1,8.0,no_data_yet,no_data_yet,1.03,60.4
2015-6-17,2.0,8.0,13.44,30.0,1,8.0,no_data_yet,no_data_yet,0.98,61.46
2015-6-18,2.0,8.0,13.44,30.0,2,4.0,no_data_yet,no_data_yet,7.0,68.54
2015-6-19,2.0,8.0,13.44,30.0,1,8.0,no_data_yet,no_data_yet,8.0,76.63
2015-6-20,2.0,8.0,13.44,30.0,1,8.0,no_data_yet,no_data_yet,8.0,84.71
2015-6-21,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,3.0,87.75
2015-6-22,2.0,9.0,18.0,16.5,2,4.5,no_data_yet,no_data_yet,9.0,96.85
2015-6-23,2.0,8.0,18.0,16.5,2,4.0,no_data_yet,no_data_yet,8.0,104.93
2015-6-24,2.0,8.0,18.0,16.5,2,4.0,no_data_yet,no_data_yet,8.0,113.01
2015-6-25,3.0,13.0,14.96,21.0,2,6.5,no_data_yet,no_data_yet,10.0,123.12
2015-6-26,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,0.0,123.16
2015-6-27,3.0,8.0,14.96,12.0,1,8.0,no_data_yet,no_data_yet,5.0,128.18
