时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
腾远投资
2015-3-26,9.0,108.0,21.6,90.0,1,108.0,no_data_yet,no_data_yet,79.23,3551.7
2015-3-27,7.0,34.0,21.6,88.6,1,34.0,no_data_yet,no_data_yet,11.57,3542.18
2015-3-28,6.0,29.0,21.6,73.3,1,29.0,no_data_yet,no_data_yet,46.29,3497.13
2015-3-29,5.0,19.0,21.6,70.0,1,19.0,no_data_yet,no_data_yet,81.76,3416.06
2015-3-30,6.0,29.0,21.6,73.3,1,29.0,no_data_yet,no_data_yet,51.44,3365.87
2015-3-31,6.0,49.0,21.6,73.3,1,49.0,no_data_yet,no_data_yet,31.3,3336.89
2015-4-1,5.0,19.0,21.6,70.0,1,19.0,no_data_yet,no_data_yet,30.62,3306.97
2015-4-2,6.0,29.0,21.6,73.3,1,29.0,no_data_yet,no_data_yet,16.48,3291.73
2015-4-3,6.0,49.0,21.6,73.3,1,49.0,no_data_yet,no_data_yet,1.48,3292.57
2015-4-4,9.0,102.0,21.6,88.9,1,102.0,no_data_yet,no_data_yet,11.96,3312.41
2015-4-5,6.0,39.0,21.6,73.3,1,39.0,no_data_yet,no_data_yet,16.48,3297.71
2015-4-6,6.0,29.0,21.6,88.3,1,29.0,no_data_yet,no_data_yet,3.79,3303.28
2015-4-7,5.0,19.0,21.6,70.0,1,19.0,no_data_yet,no_data_yet,10.58,3293.4
2015-4-8,5.0,19.0,21.6,70.0,1,19.0,no_data_yet,no_data_yet,5.4,3288.69
2015-4-9,7.0,49.0,21.6,75.7,1,49.0,no_data_yet,no_data_yet,12.4,3303.42
2015-4-10,8.0,49.0,21.6,88.8,1,49.0,no_data_yet,no_data_yet,3.97,3310.25
2015-4-11,5.0,19.0,21.6,70.0,1,19.0,no_data_yet,no_data_yet,0.31,3310.64
2015-4-12,5.0,19.0,21.6,70.0,1,19.0,no_data_yet,no_data_yet,0.23,3311.11
2015-4-13,6.0,49.0,21.6,73.3,1,49.0,no_data_yet,no_data_yet,21.66,3291.77
2015-4-14,6.0,29.0,21.6,73.3,1,29.0,no_data_yet,no_data_yet,0.14,3293.14
2015-4-15,6.0,49.0,21.6,73.3,1,49.0,no_data_yet,no_data_yet,19.6,3315.06
2015-4-16,5.0,19.0,21.6,70.0,1,19.0,no_data_yet,no_data_yet,9.54,3306.22
2015-4-17,5.0,19.0,21.6,70.0,1,19.0,no_data_yet,no_data_yet,13.8,3293.12
2015-4-18,5.0,19.0,21.6,70.0,1,19.0,no_data_yet,no_data_yet,8.89,3284.93
2015-4-19,6.0,29.0,21.6,73.3,1,29.0,no_data_yet,no_data_yet,3.62,3282.56
2015-4-20,6.0,69.0,21.6,88.3,1,69.0,no_data_yet,no_data_yet,3.39,3292.04
2015-4-21,7.0,59.0,21.6,88.6,1,59.0,no_data_yet,no_data_yet,1.2,3296.65
2015-4-22,5.0,19.0,21.6,70.0,1,19.0,no_data_yet,no_data_yet,2.99,3294.36
2015-4-23,6.0,29.0,21.6,73.3,1,29.0,no_data_yet,no_data_yet,6.09,3289.51
2015-4-24,6.0,51.7,21.6,88.3,1,51.7,no_data_yet,no_data_yet,23.36,3317.1
2015-4-25,5.0,19.0,21.6,70.0,1,19.0,no_data_yet,no_data_yet,4.25,3313.55
2015-4-26,6.0,49.0,21.6,73.3,1,49.0,no_data_yet,no_data_yet,11.39,3304.48
2015-4-27,6.0,29.0,21.6,73.3,1,29.0,no_data_yet,no_data_yet,35.85,3269.87
2015-4-28,7.0,54.0,21.6,88.6,1,54.0,no_data_yet,no_data_yet,25.85,3246.88
2015-4-29,5.0,32.0,21.6,84.0,1,32.0,no_data_yet,no_data_yet,33.03,3215.48
2015-4-30,5.0,50.0,21.6,84.0,1,50.0,no_data_yet,no_data_yet,9.76,3208.33
2015-5-1,6.0,77.0,19.11,90.0,1,77.0,no_data_yet,no_data_yet,52.92,3265.63
2015-5-2,5.0,25.0,21.6,84.0,1,25.0,no_data_yet,no_data_yet,20.21,3246.68
2015-5-3,4.0,35.0,21.6,97.5,1,35.0,no_data_yet,no_data_yet,20.48,3228.17
2015-5-4,4.0,20.0,21.6,82.5,1,20.0,no_data_yet,no_data_yet,30.9,3198.27
2015-5-5,3.0,15.0,21.6,100.0,1,15.0,no_data_yet,no_data_yet,30.21,3168.95
2015-5-6,4.0,20.0,21.6,82.5,1,20.0,no_data_yet,no_data_yet,34.94,3135.0
2015-5-7,5.0,30.0,21.6,84.0,1,30.0,no_data_yet,no_data_yet,9.4,3127.12
