时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
融途天下
2015-3-26,4.0,29.0,12.22,25.0,2,14.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,6.0,32.0,12.15,26.7,2,16.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,4.0,25.0,13.72,30.0,3,8.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,2.0,11.0,12.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,6.0,38.6,14.81,26.7,3,12.867,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,4.0,24.0,12.22,25.0,2,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,4.0,23.0,12.22,25.0,2,11.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,3.0,15.0,15.0,30.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,3.0,12.5,15.0,30.0,2,6.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,4.0,22.5,13.0,30.0,2,11.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,4.0,23.0,13.2,30.0,3,7.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,4.0,16.5,16.0,30.0,3,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,3.0,15.0,15.33,30.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,3.0,13.0,14.0,30.0,2,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,2.0,11.0,12.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,5.0,24.0,14.36,30.0,3,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,3.0,14.0,15.33,30.0,2,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,3.0,16.0,15.33,30.0,2,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,4.0,19.0,15.0,30.0,2,9.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,4.0,16.0,16.0,30.0,3,5.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,3.0,22.0,14.0,30.0,1,22.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,2.0,11.0,12.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,4.0,16.0,16.0,30.0,3,5.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,2.0,11.0,12.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,2.0,11.0,12.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,4.0,17.5,16.0,30.0,2,8.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,4.0,14.0,15.0,30.0,2,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,2.0,12.0,12.0,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,3.0,17.0,14.0,30.0,1,17.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,2.0,12.0,12.0,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,3.0,16.0,14.0,30.0,1,16.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,3.0,17.0,15.33,30.0,2,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,2.0,12.0,12.0,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,1.0,8.0,22.0,90.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,2.0,13.0,12.0,30.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,4.0,33.0,16.0,30.0,2,16.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,2.0,13.0,12.0,30.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,3.0,18.0,14.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,3.0,15.0,14.0,30.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,3.0,18.0,14.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,2.0,13.0,12.0,30.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,2.0,11.0,12.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,2.0,11.0,12.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,4.0,29.0,13.0,30.0,2,14.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,3.0,20.0,14.0,40.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,3.0,16.0,14.0,30.0,1,16.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,3.0,13.8,14.0,30.0,2,6.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,2.0,13.0,12.0,30.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,3.0,18.0,14.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,3.0,23.0,14.0,30.0,1,23.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,2.0,13.0,12.0,30.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,5.0,22.0,14.0,48.0,2,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,4.0,20.0,12.0,37.5,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,2.0,9.5,12.0,30.0,1,9.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,2.0,9.5,12.0,30.0,1,9.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,2.0,11.0,12.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,2.0,11.0,12.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,3.0,14.2,14.0,30.0,2,7.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,2.0,13.0,18.0,30.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,2.0,13.0,12.0,30.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,3.0,15.0,15.33,50.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,2.0,13.0,12.0,30.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,4.0,18.88,12.22,30.0,2,9.44,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,4.0,20.68,15.25,23.8,3,6.893,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,3.0,14.88,10.29,30.0,2,7.44,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,2.0,12.0,12.0,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,6.0,22.26,14.65,26.2,3,7.42,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,2.0,10.0,12.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,2.0,10.0,12.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,2.0,11.0,12.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,4.0,20.68,16.5,40.0,3,6.893,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,2.0,11.0,12.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,3.0,12.2,14.0,30.0,2,6.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,6.0,26.76,14.98,27.0,3,8.92,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,3.0,13.0,15.33,50.0,2,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,3.0,15.0,14.0,30.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,2.0,11.0,12.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,6.0,31.88,17.67,38.3,4,7.97,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,3.0,17.5,14.67,30.0,2,8.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,4.0,16.08,16.22,45.0,3,5.36,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,2.0,12.0,12.0,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,1.0,7.0,18.0,30.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,3.0,12.2,18.0,30.0,3,4.067,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,1.0,7.0,18.0,30.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,2.0,15.0,12.0,30.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,3.0,10.7,18.0,30.0,3,3.567,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-1,3.0,13.2,18.0,30.0,3,4.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,3.0,11.7,18.0,30.0,2,5.85,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,3.0,14.0,14.0,30.0,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-6,3.0,14.2,18.0,30.0,3,4.733,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-7,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-8,2.0,17.0,12.0,30.0,1,17.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
