时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
讯贷网
2015-6-17,3.0,178.0,17.13,45.0,3,59.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,2.0,55.0,17.0,105.0,2,27.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,2.0,43.0,16.75,60.0,2,21.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,2.0,157.0,17.5,60.0,2,78.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,1.0,32.0,16.5,30.0,1,32.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,2.0,172.0,17.65,45.0,2,86.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,2.0,87.0,16.5,22.5,2,43.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,1.0,85.0,17.58,30.0,1,85.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,1.0,18.0,17.0,90.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,1.0,85.0,15.0,15.0,1,85.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,1.0,180.0,18.0,30.0,1,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,2.0,175.0,17.65,45.0,2,87.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-1,1.0,60.0,15.0,15.0,1,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,2.0,110.0,17.29,60.0,2,55.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,4.0,134.1,17.13,67.5,4,33.525,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,1.0,38.0,15.0,15.0,1,38.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,2.0,167.0,16.5,22.5,2,83.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-6,3.0,235.0,17.77,40.0,3,78.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-7,2.0,135.0,17.5,30.0,2,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-8,4.0,167.0,16.67,48.8,4,41.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-9,2.0,162.0,17.79,30.0,2,81.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-10,2.0,45.0,16.75,60.0,2,22.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-12,2.0,157.0,16.5,22.5,2,78.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-13,1.0,108.0,18.8,60.0,1,108.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-14,1.0,46.0,16.5,30.0,1,46.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-15,3.0,103.0,17.36,100.0,3,34.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-16,2.0,53.0,16.75,60.0,2,26.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-17,2.0,52.0,17.0,105.0,2,26.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-18,1.0,124.0,18.0,30.0,1,124.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-19,2.0,63.0,16.0,52.5,2,31.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-21,2.0,143.0,17.65,45.0,2,71.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-22,2.0,68.0,17.29,60.0,2,34.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-23,2.0,51.0,16.75,60.0,2,25.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-25,3.0,157.0,16.5,25.0,3,52.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-27,3.0,128.0,16.93,55.0,3,42.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-28,2.0,30.0,16.75,60.0,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-29,2.0,103.0,16.29,22.5,2,51.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-30,2.0,210.0,17.79,30.0,2,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-31,1.0,20.0,15.0,15.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-1,1.0,25.0,16.5,30.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-3,2.0,187.0,16.5,22.5,2,93.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-4,2.0,146.0,18.49,60.0,2,73.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-5,1.0,42.0,15.0,15.0,1,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-6,3.0,191.0,17.69,50.0,3,63.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-7,1.0,100.0,18.5,30.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-8,4.0,170.0,16.88,26.3,4,42.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-9,2.0,83.0,17.5,60.0,2,41.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-10,2.0,125.0,17.65,45.0,2,62.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
