时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
诺信创投
2015-3-26,4.0,65.0,21.0,45.0,4,16.25,no_data_yet,no_data_yet,6.21,3222.9
2015-3-27,7.0,96.5,21.0,47.1,7,13.786,no_data_yet,no_data_yet,12.93,3238.45
2015-3-28,2.0,30.0,21.0,45.0,2,15.0,no_data_yet,no_data_yet,31.51,3207.63
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,247.47,2960.16
2015-3-30,15.0,249.7,21.0,42.0,15,16.647,no_data_yet,no_data_yet,186.13,3151.96
2015-3-31,5.0,174.35,21.0,48.0,5,34.87,no_data_yet,no_data_yet,26.83,3184.29
2015-4-1,5.0,64.0,21.0,36.0,5,12.8,no_data_yet,no_data_yet,10.43,3175.13
2015-4-2,4.0,70.6,21.0,45.0,4,17.65,no_data_yet,no_data_yet,21.36,3155.44
2015-4-3,11.0,145.7,21.0,46.4,11,13.245,no_data_yet,no_data_yet,29.45,3188.56
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,64.76,3123.8
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,83.8,3040.0
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,40.86,2999.14
2015-4-7,11.0,147.7,21.0,38.2,11,13.427,no_data_yet,no_data_yet,124.22,3126.78
2015-4-8,5.0,65.8,21.0,36.0,5,13.16,no_data_yet,no_data_yet,24.94,3153.03
2015-4-9,4.0,66.2,21.0,37.5,4,16.55,no_data_yet,no_data_yet,25.51,3179.85
2015-4-10,3.0,43.7,21.0,40.0,3,14.567,no_data_yet,no_data_yet,22.7,3158.09
2015-4-11,6.0,86.3,21.0,35.0,6,14.383,no_data_yet,no_data_yet,37.7,3122.05
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,92.7,3029.35
2015-4-13,13.0,150.1,21.0,36.9,13,11.546,no_data_yet,no_data_yet,119.41,3151.93
2015-4-14,4.0,54.8,21.0,37.5,4,13.7,no_data_yet,no_data_yet,21.07,3174.12
2015-4-15,8.0,142.9,21.0,45.0,8,17.863,no_data_yet,no_data_yet,69.22,3108.14
2015-4-16,12.0,189.1,19.0,70.0,12,15.758,no_data_yet,no_data_yet,83.48,3198.53
2015-4-17,6.0,72.5,19.0,65.0,6,12.083,no_data_yet,no_data_yet,41.98,3242.73
2015-4-18,6.0,72.0,19.0,45.0,6,12.0,no_data_yet,no_data_yet,51.65,3295.98
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,20.35,3275.64
2015-4-20,6.0,77.5,19.0,65.0,6,12.917,no_data_yet,no_data_yet,46.98,3325.05
2015-4-21,3.0,40.0,19.0,60.0,3,13.333,no_data_yet,no_data_yet,40.0,3366.14
2015-4-22,6.0,86.5,19.0,45.0,6,14.417,no_data_yet,no_data_yet,66.15,3434.12
2015-4-23,5.0,66.4,19.0,48.0,5,13.28,no_data_yet,no_data_yet,5.67,3429.95
2015-4-24,5.0,84.2,19.0,66.0,5,16.84,no_data_yet,no_data_yet,40.57,3392.27
2015-4-25,3.0,40.0,19.0,60.0,3,13.333,no_data_yet,no_data_yet,42.24,3351.12
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,264.85,3086.26
2015-4-27,13.0,260.4,19.0,80.8,13,20.031,no_data_yet,no_data_yet,209.02,3306.31
2015-4-28,6.0,72.0,19.0,65.0,6,12.0,no_data_yet,no_data_yet,50.17,3358.73
2015-4-29,8.0,167.3,19.0,75.0,8,20.913,no_data_yet,no_data_yet,28.07,3337.25
2015-4-30,6.0,74.4,19.0,60.0,6,12.4,no_data_yet,no_data_yet,43.68,3383.14
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,102.62,3280.52
2015-5-2,2.0,100.0,19.0,60.0,2,50.0,no_data_yet,no_data_yet,30.84,3314.48
2015-5-3,3.0,120.0,19.0,60.0,3,40.0,no_data_yet,no_data_yet,12.81,3305.41
2015-5-4,10.0,133.9,19.0,60.0,10,13.39,no_data_yet,no_data_yet,113.21,3422.55
2015-5-5,7.0,104.1,19.0,51.4,7,14.871,no_data_yet,no_data_yet,83.41,3508.54
2015-5-6,2.0,30.0,19.0,60.0,2,15.0,no_data_yet,no_data_yet,8.28,3517.6
2015-5-7,5.0,61.0,19.0,48.0,5,12.2,no_data_yet,no_data_yet,37.47,3481.55
2015-5-8,10.0,186.2,19.0,63.0,10,18.62,no_data_yet,no_data_yet,34.67,3523.09
2015-5-9,8.0,145.1,19.0,71.3,8,18.138,no_data_yet,no_data_yet,15.51,3544.31
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,77.42,3466.89
2015-5-11,11.0,154.8,19.0,70.9,11,14.073,no_data_yet,no_data_yet,66.84,3539.54
2015-5-12,8.0,101.3,19.0,48.8,8,12.663,no_data_yet,no_data_yet,49.16,3591.1
2015-5-13,11.0,151.1,19.0,60.0,11,13.736,no_data_yet,no_data_yet,11.59,3607.27
2015-5-14,5.0,61.4,19.0,60.0,5,12.28,no_data_yet,no_data_yet,15.83,3624.84
2015-5-15,11.0,214.2,19.0,65.5,11,19.473,no_data_yet,no_data_yet,83.27,3716.42
2015-5-16,4.0,50.0,19.0,52.5,4,12.5,no_data_yet,no_data_yet,0.97,3716.7
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,43.35,3673.35
2015-5-18,5.0,70.0,19.0,48.0,5,14.0,no_data_yet,no_data_yet,6.84,3681.75
2015-5-19,6.0,79.7,19.0,55.0,6,13.283,no_data_yet,no_data_yet,59.01,3742.82
2015-5-20,6.0,83.5,19.0,55.0,6,13.917,no_data_yet,no_data_yet,39.13,3784.14
2015-5-21,3.0,40.0,19.0,60.0,3,13.333,no_data_yet,no_data_yet,19.69,3804.92
2015-5-22,5.0,69.0,19.0,48.0,5,13.8,no_data_yet,no_data_yet,8.88,3797.58
2015-5-23,8.0,100.3,19.0,56.3,8,12.538,no_data_yet,no_data_yet,5.59,3806.04
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,44.88,3761.16
2015-5-25,7.0,97.0,19.0,51.4,7,13.857,no_data_yet,no_data_yet,40.48,3804.09
2015-5-26,6.0,81.3,19.0,60.0,6,13.55,no_data_yet,no_data_yet,23.88,3830.48
2015-5-27,3.0,40.0,19.0,60.0,3,13.333,no_data_yet,no_data_yet,9.34,3840.91
2015-5-28,3.0,40.0,19.0,50.0,3,13.333,no_data_yet,no_data_yet,8.52,3850.36
2015-5-29,5.0,69.5,19.0,60.0,5,13.9,no_data_yet,no_data_yet,52.75,3799.55
2015-5-30,5.0,187.3,19.0,72.0,5,37.46,no_data_yet,no_data_yet,7.7,3815.25
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.35,3804.91
2015-6-1,6.0,76.7,19.0,45.0,6,12.783,no_data_yet,no_data_yet,0.98,3805.59
2015-6-2,6.0,85.8,19.0,65.0,6,14.3,no_data_yet,no_data_yet,33.98,3774.2
2015-6-3,6.0,80.6,19.0,60.0,6,13.433,no_data_yet,no_data_yet,14.58,3791.15
2015-6-4,5.0,73.6,19.0,48.0,5,14.72,no_data_yet,no_data_yet,19.77,3812.54
2015-6-5,3.0,40.0,19.0,40.0,3,13.333,no_data_yet,no_data_yet,19.69,3833.01
2015-6-6,5.0,61.6,19.0,72.0,5,12.32,no_data_yet,no_data_yet,32.7,3802.42
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,65.59,3736.82
2015-6-8,5.0,67.9,19.0,48.0,5,13.58,no_data_yet,no_data_yet,27.09,3765.44
2015-6-9,4.0,50.0,19.0,60.0,4,12.5,no_data_yet,no_data_yet,39.65,3806.5
2015-6-10,6.0,71.0,19.0,50.0,6,11.833,no_data_yet,no_data_yet,30.19,3838.42
2015-6-11,3.0,40.4,19.0,60.0,3,13.467,no_data_yet,no_data_yet,19.72,3819.8
2015-6-12,5.0,62.5,19.0,54.0,5,12.5,no_data_yet,no_data_yet,38.07,3783.33
2015-6-13,4.0,51.0,19.0,52.5,4,12.75,no_data_yet,no_data_yet,9.07,3793.67
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,97.33,3696.34
2015-6-15,7.0,103.2,19.0,42.9,7,14.743,no_data_yet,no_data_yet,26.33,3724.75
2015-6-16,3.0,40.0,19.0,60.0,3,13.333,no_data_yet,no_data_yet,29.69,3755.53
2015-6-17,4.0,50.0,19.0,52.5,4,12.5,no_data_yet,no_data_yet,11.09,3745.68
2015-6-18,2.0,30.0,19.0,45.0,2,15.0,no_data_yet,no_data_yet,19.46,3726.85
2015-6-19,3.0,40.0,19.0,60.0,3,13.333,no_data_yet,no_data_yet,21.19,3706.75
2015-6-20,1.0,10.0,19.0,30.0,1,10.0,no_data_yet,no_data_yet,20.62,3686.28
2015-6-21,3.0,40.0,19.0,60.0,3,13.333,no_data_yet,no_data_yet,20.08,3667.29
2015-6-22,2.0,30.0,19.0,60.0,2,15.0,no_data_yet,no_data_yet,34.85,3633.22
2015-6-23,5.0,61.5,19.0,42.0,5,12.3,no_data_yet,no_data_yet,61.5,3696.0
2015-6-24,2.0,30.0,19.0,30.0,2,15.0,no_data_yet,no_data_yet,43.18,3653.29
2015-6-25,3.0,40.0,19.0,50.0,3,13.333,no_data_yet,no_data_yet,2.66,3651.57
2015-6-26,2.0,45.0,19.0,45.0,2,22.5,no_data_yet,no_data_yet,11.41,3641.26
2015-6-27,3.0,40.6,19.0,50.0,3,13.533,no_data_yet,no_data_yet,0.18,3642.05
