时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
财富宝
2015-3-26,2.0,55.0,18.0,30.0,2,27.5,no_data_yet,no_data_yet,55.0,809.35
2015-3-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,37.45,771.9
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,37.45,771.9
2015-3-29,1.0,130.0,19.2,90.0,1,130.0,no_data_yet,no_data_yet,130.0,908.14
2015-3-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,130.0,908.14
2015-3-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,130.0,908.14
2015-4-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,130.0,908.14
2015-4-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,130.0,908.14
2015-4-3,1.0,40.0,18.0,30.0,1,40.0,no_data_yet,no_data_yet,40.0,948.74
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,121.92,826.82
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,45.68,781.15
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,45.68,781.15
2015-4-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,45.68,781.15
2015-4-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,45.68,781.15
2015-4-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,45.68,781.15
2015-4-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,45.68,781.15
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,43.48,737.67
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.4,735.27
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.4,735.27
2015-4-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.4,735.27
2015-4-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.4,735.27
2015-4-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,40.6,694.67
2015-4-17,1.0,40.0,18.0,30.0,1,40.0,no_data_yet,no_data_yet,40.0,735.27
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,40.0,735.27
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,40.0,735.27
2015-4-20,1.0,120.0,19.2,90.0,1,120.0,no_data_yet,no_data_yet,120.0,861.03
2015-4-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,120.0,861.03
2015-4-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,120.0,861.03
2015-4-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,120.0,861.03
2015-4-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,120.0,861.03
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,55.83,805.2
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.92,803.28
2015-4-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.92,803.28
2015-4-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.08,801.2
2015-4-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.08,801.2
2015-4-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.08,801.2
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.08,801.2
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.08,801.2
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,40.6,760.6
2015-5-4,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,30.0,791.05
2015-5-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,30.0,791.05
2015-5-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,30.0,791.05
2015-5-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,30.0,791.05
2015-5-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,30.0,791.05
2015-5-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,30.0,791.05
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,30.0,791.05
2015-5-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,152.88,638.17
2015-5-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.4,635.77
2015-5-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.4,635.77
2015-5-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.4,635.77
2015-5-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.4,635.77
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.4,635.77
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,40.6,595.17
2015-5-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,40.6,595.17
2015-5-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,40.6,595.17
2015-5-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.92,593.25
2015-5-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.92,593.25
