时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
车贷汇
2015-3-26,12.0,61.7,18.55,77.5,10,6.17,no_data_yet,no_data_yet,60.22,1172.18
2015-3-27,12.0,59.6,18.2,62.5,12,4.967,no_data_yet,no_data_yet,57.21,1231.48
2015-3-28,16.0,54.67,18.26,60.0,13,4.205,no_data_yet,no_data_yet,53.18,1286.27
2015-3-29,12.0,22.6,18.25,65.0,6,3.767,no_data_yet,no_data_yet,21.42,1308.26
2015-3-30,26.0,36.94,18.21,66.9,17,2.173,no_data_yet,no_data_yet,35.27,1344.58
2015-3-31,10.0,37.73,18.9,93.0,10,3.773,no_data_yet,no_data_yet,26.14,1371.84
2015-4-1,13.0,42.03,18.78,99.2,7,6.005,no_data_yet,no_data_yet,36.88,1410.32
2015-4-2,29.0,47.55,18.37,76.6,15,3.17,no_data_yet,no_data_yet,32.2,1443.78
2015-4-3,19.0,42.02,18.35,75.8,11,3.82,no_data_yet,no_data_yet,24.18,1469.01
2015-4-4,6.0,33.6,17.8,45.0,6,5.6,no_data_yet,no_data_yet,28.57,1498.61
2015-4-5,6.0,13.8,18.4,80.0,3,4.6,no_data_yet,no_data_yet,1.93,1501.1
2015-4-6,9.0,21.3,18.0,50.0,9,2.367,no_data_yet,no_data_yet,17.66,1519.33
2015-4-7,12.0,17.16,18.05,55.0,10,1.716,no_data_yet,no_data_yet,11.14,1530.86
2015-4-8,13.0,30.89,18.51,83.1,7,4.413,no_data_yet,no_data_yet,8.44,1523.58
2015-4-9,6.0,32.2,18.7,80.0,5,6.44,no_data_yet,no_data_yet,0.61,1525.12
2015-4-10,10.0,58.1,18.6,78.0,10,5.81,no_data_yet,no_data_yet,23.79,1550.75
2015-4-11,27.0,56.65,18.51,78.9,15,3.777,no_data_yet,no_data_yet,7.02,1545.72
2015-4-12,19.0,49.91,18.28,66.3,11,4.537,no_data_yet,no_data_yet,23.54,1570.6
2015-4-13,27.0,24.3,18.44,80.0,11,2.209,no_data_yet,no_data_yet,11.07,1560.37
2015-4-14,25.0,31.28,18.41,78.0,8,3.91,no_data_yet,no_data_yet,0.54,1561.79
