时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
金线财富
2015-7-6,2.0,18.0,12.5,16.5,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-7,2.0,18.0,12.5,18.5,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-8,2.0,18.0,12.5,18.5,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-9,2.0,18.0,12.5,20.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-10,2.0,18.0,12.5,22.5,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-11,2.0,18.0,13.0,8.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-13,2.0,18.0,13.0,22.5,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-14,2.0,14.0,13.0,25.5,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-15,1.0,8.0,18.0,10.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-16,4.0,25.0,13.0,25.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-17,3.0,23.68,11.33,30.0,2,11.84,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-18,4.0,26.0,15.5,21.3,2,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-20,2.0,9.0,13.0,18.5,1,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-21,2.0,9.0,18.0,10.0,1,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-22,2.0,7.0,19.0,7.5,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-23,2.0,6.0,20.0,8.5,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-24,1.0,2.0,20.0,5.0,1,2.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-25,2.0,4.5,20.0,7.5,1,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-27,1.0,3.0,20.0,10.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-28,2.0,5.0,13.0,17.5,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-29,2.0,5.5,18.0,5.0,1,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-30,2.0,8.0,14.0,20.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-31,2.0,6.0,18.0,5.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-1,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-2,1.0,3.0,18.0,10.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-3,1.0,3.0,18.0,10.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-4,2.0,6.0,18.0,22.5,2,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-5,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-6,1.0,7.0,20.0,30.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-7,1.0,9.0,18.0,30.0,1,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-8,2.0,8.0,18.0,30.0,2,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-11,1.0,5.0,18.0,15.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-12,1.0,5.0,18.0,15.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-13,1.0,5.0,18.0,15.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-14,2.0,6.0,18.0,17.5,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-15,2.0,6.0,18.0,17.5,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-16,1.0,3.0,18.0,15.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-17,1.0,3.0,18.0,20.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-18,2.0,6.0,12.4,25.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-19,3.0,11.0,14.27,25.0,2,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-20,2.0,5.0,6.8,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-21,3.0,9.0,10.53,30.0,2,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-22,3.0,10.0,18.0,18.3,2,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-24,2.0,6.0,18.0,12.5,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-25,2.0,6.0,18.0,15.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-27,2.0,7.0,18.0,23.0,2,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-28,1.0,3.0,18.0,18.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-29,2.0,7.0,18.0,24.0,2,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-31,2.0,7.0,18.0,25.0,2,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-1,2.0,7.0,18.0,25.5,2,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-2,1.0,2.0,18.0,15.0,1,2.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-4,2.0,9.0,18.0,22.5,2,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-8,1.0,8.0,18.0,15.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-9,1.0,4.0,18.0,10.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-11,2.0,9.0,18.0,20.0,2,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
