时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
鑫茂创投
2015-6-26,2.0,9.0,14.0,30.0,2,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,1.0,2.0,12.0,15.0,1,2.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,2.0,7.8,16.5,15.5,2,3.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,1.0,4.5,15.0,1.0,1,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-1,1.0,3.2,18.0,30.0,1,3.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,1.0,1.8,6.0,10.0,1,1.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,1.0,4.5,18.0,30.0,1,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,2.0,4.8,13.0,22.5,2,2.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-6,1.0,1.8,10.0,21.0,1,1.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-8,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-9,1.0,2.5,18.0,30.0,1,2.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-10,1.0,2.0,18.0,30.0,1,2.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-11,1.0,1.8,10.0,21.0,1,1.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-14,2.0,6.5,18.0,30.0,2,3.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-15,1.0,2.5,18.0,30.0,1,2.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-16,1.0,2.8,16.0,15.0,1,2.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-17,1.0,2.8,18.0,18.0,1,2.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-20,1.0,2.8,20.0,21.0,1,2.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-21,1.0,1.8,16.0,30.0,1,1.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-23,1.0,3.0,16.0,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-24,3.0,11.5,12.27,22.3,2,5.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-27,3.0,13.0,13.93,23.3,2,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-28,1.0,6.5,18.0,30.0,1,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-29,2.0,8.0,13.4,22.5,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-30,2.0,9.0,18.0,22.5,2,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-31,1.0,5.5,18.0,30.0,1,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-1,1.0,3.0,18.0,15.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-4,3.0,12.1,18.33,20.0,2,6.05,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-5,1.0,3.8,18.0,15.0,1,3.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-6,2.0,11.0,19.0,30.0,2,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-7,2.0,5.8,18.5,22.5,2,2.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-8,1.0,6.0,19.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-10,1.0,3.8,18.0,15.0,1,3.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-11,2.0,8.8,18.5,22.5,2,4.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-12,1.0,3.8,18.0,21.0,1,3.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-13,4.0,22.8,18.88,33.8,2,11.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-14,2.0,6.8,18.75,25.5,1,6.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-17,3.0,18.5,18.0,17.3,2,9.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-18,3.0,18.5,18.17,19.3,2,9.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-19,2.0,14.7,18.0,18.5,1,14.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-20,1.0,7.0,19.0,30.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-22,1.0,7.0,19.0,30.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-25,1.0,6.0,19.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-26,1.0,5.0,19.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-28,1.0,5.0,19.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-29,1.0,7.0,19.0,30.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-31,1.0,3.0,19.0,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-8,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-9,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-9-14,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
